Field_1__c,Field_2__c,Field_3__c,Field_4__c,Field_1_Description__c,Field_2_Description__c,Field_3_Description__c,Field_4_Description__c,Type__c,Action_Type__c,Action_Label__c,Action_Body__c
Class 4,Existing,Installing,Greywater treatment plant,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is NOTIFIABLE WORK.</p><p><br></p><p>Note: This applies to a greywater treatment plant installed in a sewered area and generates no more than 3kL of greywater. A PERMIT is required in all other situations.</p>
Class 4,Existing,Installing,Hot water heater,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is NOTIFIABLE WORK.</p><p><br></p><p>Note: A licensed plumber installing a solar or heat pump hot water heater must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Installing,"Irrigation or lawn watering system (downstream from a tap, isolating valve or backflow prevention device)","","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Installing,Non-testable backflow prevention device,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Installing,On-site sewage treatment plant (other than an Environmental Protection Agency approved treatment plant),"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Installing,Sanitary drain,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Installing,Sanitary plumbing - stack or elevated pipework,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Installing,Tempering valve or thermostatic mixing valve,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Installing,Testable backflow prevention device,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Installing,Water service,"","",Installing generally means connecting new or additional plumbing or drainages item that did not previously exist,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Maintaining,A fixture or fitting (may include more than one fixture or fitting),"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Maintaining,"A tap, cistern, pump, siphon, valve, arrestor, domestic water filter, water meter or water softener","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Maintaining,Automatic switching device for a rainwater tank,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Maintaining,Dual check valve with atmospheric port,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Maintaining,Fire Hydrant or fire hose reel,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Maintaining,"Fire service, including hydrant or sprinkler system","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is MINOR WORK.</p><p><br></p><p>Note: Maintaining a fire service may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p>"
Class 4,Existing,Maintaining,Greywater treatment plant,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: repairing or maintaining an irrigation system for the disposal of effluent from the greywater treatment plant is UNREGULATED WORK.</p>
Class 4,Existing,Maintaining,Hot water heater,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber maintaining a solar or heat pump hot water heater must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Maintaining,"Irrigation or lawn watering system (downstream from a tap, isolating valve or backflow prevention device)","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Maintaining,Irrigation system for an on-site sewage treatment plant,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Maintaining,Non-testable backflow prevention device,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Maintaining,On-site sewage treatment plant (other than an Environmental Protection Agency approved treatment plant),"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is MINOR WORK.</p><p><br></p><p>Note:</p><ul><li>The work is required to be carried out by a person who holds a relevant endorsement on their drainers licence or alternatively, a person who holds a restricted drainers licence.</li><li>Repairing or maintaining an irrigation system for the disposal of effluent from the on-site sewage treatment plant is UNREGULATED WORK.</li></ul>"
Class 4,Existing,Maintaining,Sanitary drain,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: maintaining a sanitary drain may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be NOTIFIABLE WORK.</p>
Class 4,Existing,Maintaining,Sanitary plumbing - stack or elevated pipework,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: maintaining a stack or elevated pipework may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be NOTIFIABLE WORK.</p>
Class 4,Existing,Maintaining,Tempering valve or thermostatic mixing valve,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: Maintaining a thermostatic mixing valve is required to be carried out by a person who holds a relevant endorsement on their plumbers licence.</p>
Class 4,Existing,Maintaining,Testable backflow prevention device,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber maintaining a testable backflow prevention device must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Maintaining,Water service,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: maintaining a water service may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be NOTIFIABLE WORK.</p>
Class 4,Existing,Relocating,A fixture (may include more than one fixture),"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"The work is NOTIFIABLE WORK if the building is not greater than 2 storeys above ground and/or the work required to install the fixture does not involve sanitary drainage. If the building is greater than 2 storeys above ground and/or if the work involves sanitary drainage, a PERMIT is required."
Class 4,Existing,Removing,A fixture or fitting (may include more than one fixture or fitting),"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Removing,"A tap, cistern, pump, siphon, valve, arrestor, domestic water filter, water meter or water softener","","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Removing,Automatic switching device for a rainwater tank,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Removing,Dual check valve with atmospheric port,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Removing,Fire Hydrant or fire hose reel,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is NOTIFIABLE WORK.</p><p><br></p><p>Note: Notifiable work only applies when extending the fire service is associated with a building development approval. Where there is no associated building development approval, the work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p>"
Class 4,Existing,Removing,"Fire service, including hydrant or sprinkler system","","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is NOTIFIABLE WORK.</p><p><br></p><p>Note: Notifiable work only applies when extending the fire service is associated with a building development approval. Where there is no associated building development approval, the work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p>"
Class 4,Existing,Removing,Greywater treatment plant,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Removing,Hot water heater,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Removing,Non-testable backflow prevention device,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Removing,On-site sewage treatment plant (other than an Environmental Protection Agency approved treatment plant),"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Removing,Sanitary drain,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Removing,Sanitary plumbing - stack or elevated pipework,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Removing,Tempering valve or thermostatic mixing valve,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Removing,Testable backflow prevention device,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Removing,Water service,"","",Removing generally means removing a plumbing or drainage item from a place without installing a new item in its place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Repairing,A fixture or fitting (may include more than one fixture or fitting),"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Repairing,"A tap, cistern, pump, siphon, valve, arrestor, domestic water filter, water meter or water softener","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Repairing,Automatic switching device for a rainwater tank,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Repairing,Dual check valve with atmospheric port,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Repairing,Fire Hydrant or fire hose reel,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Repairing,"Fire service, including hydrant or sprinkler system","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is MINOR WORK.</p><p><br></p><p>Note: repairing a fire service may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p>"
Class 4,Existing,Repairing,Greywater treatment plant,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: repairing or maintaining an irrigation system for the disposal of effluent from the greywater treatment plant is UNREGULATED WORK.</p>
Class 4,Existing,Repairing,Hot water heater,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber repairing a solar or heat pump hot water heater must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Repairing,"Irrigation or lawn watering system (downstream from a tap, isolating valve or backflow prevention device)","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Repairing,Irrigation system for an on-site sewage treatment plant,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Repairing,Non-testable backflow prevention device,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Repairing,On-site sewage treatment plant (other than an Environmental Protection Agency approved treatment plant),"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is MINOR WORK.</p><p><br></p><p>Note:</p><ul><li>The work is required to be carried out by a person who holds a relevant endorsement on their drainers licence or alternatively, a person who holds a restricted drainers licence.</li><li>Repairing or maintaining an irrigation system for the disposal of effluent from the on-site sewage treatment plant is UNREGULATED WORK.</li></ul>"
Class 4,Existing,Repairing,Sanitary drain,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: Repairing a sanitary drain may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be NOTIFIABLE WORK.</p>
Class 4,Existing,Repairing,Sanitary plumbing - stack or elevated pipework,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: repairing a stack or elevated pipework may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be NOTIFIABLE WORK.</p>
Class 4,Existing,Repairing,Tempering valve or thermostatic mixing valve,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: Repairing a thermostatic mixing valve is required to be carried out by a person who holds a relevant endorsement on their plumbers licence.</p>
Class 4,Existing,Repairing,Testable backflow prevention device,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber repairing a testable backflow prevention device must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Repairing,Water service,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: repairing a water service may include replacing a small section of pipe but will be limited to a broken or damaged section of pipe. Anything beyond this will be NOTIFIABLE WORK.</p>
Class 4,Existing,Replacing,"A drop valve washer, float valve washer or suction cap rubber for a toilet cistern","","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Replacing,A fixture or fitting (may include more than one fixture or fitting),"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Replacing,A shower head or domestic water filter cartridge,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Replacing,"A tap, cistern, pump, siphon, valve, arrestor, domestic water filter, water meter or water softener","","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Replacing,Automatic switching device for a rainwater tank,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Replacing,Dual check valve with atmospheric port,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Replacing,Fire Hydrant or fire hose reel,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Replacing,"Fire service, including hydrant or sprinkler system","","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Replacing,Greywater treatment plant,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Replacing,Hot water heater,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is NOTIFIABLE WORK.</p><p><br></p><p>Note: A licensed plumber replacing a solar or heat pump hot water heater must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Replacing,Jumper valve of washer in a tap,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 4,Existing,Replacing,Non-testable backflow prevention device,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Replacing,On-site sewage treatment plant (other than an Environmental Protection Agency approved treatment plant),"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Replacing,Sanitary drain,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Replacing,Sanitary plumbing - stack or elevated pipework,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Replacing,Tempering valve or thermostatic mixing valve,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Replacing,Testable backflow prevention device,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Replacing,Water service,"","",Replacing generally means removing a plumbing or drainage item from a place and installing a new item of a similar type in the same place,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Sealing,"Fire service, including hydrant or sprinkler system","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 4,Existing,Sealing,Sanitary drain,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is NOTIFIABLE WORK.</p><p><br></p><p>Note: When sealing the sanitary drain at either the connection point to a treatment plant or the connection point to the service provider&#39;s infrastructure, the work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p>"
Class 4,Existing,Sealing,Sanitary plumbing - stack or elevated pipework,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,Existing,Sealing,Water service,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is NOTIFIABLE WORK.</p><p><br></p><p>Note: When sealing the water service at the water meter the work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p>"
Class 4,Existing,Testing,A fixture or fitting (may include more than one fixture or fitting),"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Testing,"A tap, cistern, pump, siphon, valve, arrestor, domestic water filter, water meter or water softener","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Testing,Automatic switching device for a rainwater tank,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Testing,Fire Hydrant or fire hose reel,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A plumbers licence under the Plumbing and Drainage Act is not required where the person testing the fire hydrant or fire hose reel holds a fire protection occupational licence or another licence under the Queensland Building and Construction Commission Act that allows the person to test a fire hydrant or fire hose reel.</p>
Class 4,Existing,Testing,"Fire service, including hydrant or sprinkler system","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber who is testing a fire system must hold an appropriate fire endorsement on their plumbers licence.</p>
Class 4,Existing,Testing,Greywater treatment plant,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Testing,Hot water heater,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber testing a solar or heat pump hot water heater must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Testing,Sanitary drain,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Testing,Sanitary plumbing - stack or elevated pipework,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Testing,Tempering valve or thermostatic mixing valve,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: Testing a thermostatic mixing valve is required to be carried out by a person who holds a relevant endorsement on their plumbers licence.</p>
Class 4,Existing,Testing,Testable backflow prevention device,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber testing a testable backflow prevention device must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 4,Existing,Testing,Water service,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Unblocking,"Fire service, including hydrant or sprinkler system","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Unblocking,Sanitary drain,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Unblocking,Sanitary plumbing - stack or elevated pipework,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Existing,Unblocking,Water service,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 4,Extension,"","","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 4,New,"","","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 5,Existing,Altering,"Fire service, including hydrant or sprinkler system","","",Altering generally means modifying existing plumbing or drainage,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 5,Existing,Altering,Sanitary drain,"","",Altering generally means modifying existing plumbing or drainage,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
